"item" "roi" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "PB" "IC" "SC"
"181" 11 4 2 "शुरू" 1 385 386 11 6 4 4 0 1
"182" 11 5 2 "हुए" 0.5 1245 5915 4 163 3 5 5 1
"183" 11 6 3 "36वें" 1 NA NA NA NA 5 6 0 2
"184" 11 7 3 "फिल्म" 1.5 107 135 NA NA 5 6 0 1
"185" 11 8 5 "फ़ेसटीवल" 1 NA NA NA NA 8 6 3 1
"186" 11 9 1 "के" 0.5 18820 25348 NA NA 2 6 0 2
"187" 11 10 2 "रंग" 0.5 19 23 2 4 3 10 1 1
"188" 11 11 1 "में" 1 12692 25348 4 6 3 10 0 1
"189" 11 12 2 "भंग" 0.5 29 29 3 NA 3 12 1 1
"190" 11 13 2 "उस" 0 235 6262 1 1 2 13 0 2
"191" 11 14 3 "समय" 0 495 495 56 63 3 13 0 1
"192" 11 15 2 "पड़ा" 0 120 234 1 NA 3 15 2 1
"193" 11 16 2 "जब" 0 340 341 2 NA 2 16 1 1
"194" 11 17 2 "वहां" 0.5 187 240 1 1 4 17 0 1
"195" 11 18 2 "पर" 0 5002 7193 7 22 2 17 0 1
"196" 11 19 3 "तैनात" 0.5 81 81 14 NA 5 19 1 2
"197" 11 20 3 "पुलीस" 0.5 NA NA NA NA 5 20 0 1
"198" 11 21 2 "वालों" 0.5 83 1196 NA NA 5 20 0 1
"199" 11 22 1 "ने" 0.5 6947 12697 5 11 2 20 0 1
"200" 11 23 3 "बिपाशा" 1 8 8 NA 1 6 23 0 1
"201" 11 24 2 "बसु" 0.5 18 18 4 4 3 23 0 1
"202" 11 25 1 "के" 0.5 18820 25348 5 2 2 23 0 2
"203" 11 26 2 "साथ" 0 1188 1190 757 21 3 23 0 1
"204" 11 27 5 "बदतमीज़ी" 0.5 NA NA NA NA 8 28 0 1
"205" 11 28 1 "की" 0 11321 25348 NA NA 2 28 21 0
"206" 11 29 1 "।" 0 19415 18846 284 13 1 28 0 0
"207" 12 1 3 "पुलीस" 0.5 NA NA NA NA 5 1 0 1
"208" 12 2 2 "द्वारा" 1.5 525 526 NA NA 6 1 0 1
"209" 12 3 1 "की" 0 11321 25348 14 NA 2 3 1 0
"210" 12 4 5 "बदतमीजी" 0 3 3 1 NA 7 4 0 0
"211" 12 5 1 "के" 0.5 18820 25348 2 NA 2 4 0 2
"212" 12 6 3 "चलते" 0.5 92 469 56 5 4 6 1 1
"213" 12 7 3 "बिपाशा" 1 8 8 2 NA 6 7 0 1
"214" 12 8 1 "का" 0 5500 25348 1 2 2 7 0 2
"215" 12 9 3 "गुस्सा" 1 9 19 6 8 6 9 1 1
"216" 12 10 3 "सातवें" 1 3 3 2 2 6 10 0 2
"217" 12 11 4 "आसमान" 0 10 10 2 2 5 10 0 1
"218" 12 12 2 "पर" 0 5002 7193 2 NA 2 10 0 1
"219" 12 13 1 "जा" 0 929 7560 9 4 2 13 9 0
"220" 12 14 3 "पहुंचा" 1 48 354 3 7 6 13 0 0
"221" 12 15 1 "।" 0 19415 18846 11 57 1 13 0 0
"222" 13 1 2 "और" 0 5122 5122 NA NA 2 1 0 1
"223" 13 2 3 "पहले" 0.5 700 587 3 1 4 2 0 1
"224" 13 3 1 "तो" 0 1349 1349 5 3 2 2 0 1
"225" 13 4 4 "उन्होंने" 1.5 1693 6262 30 172 8 4 0 1
"226" 13 5 2 "वहीं" 0.5 164 240 1 17 4 5 0 1
"227" 13 6 2 "पर" 0 5002 7193 3 22 2 5 0 1
"228" 13 7 2 "इन" 0 541 8126 11 182 2 7 0 2
"229" 13 8 2 "गार्ड्स" 3 2 25 1 1 7 7 0 1
"230" 13 9 1 "की" 0 11321 25348 1 8 2 7 0 2
"231" 13 10 2 "खैर" 0.5 19 19 1 1 3 10 0 1
"232" 13 11 3 "खबर" 0 83 126 1 1 3 10 0 1
"233" 13 12 1 "ली" 0 166 1763 1 1 2 12 38 0
"234" 13 13 3 "लेकिन" 1.5 859 859 4 8 5 13 0 1
"235" 13 14 2 "बाद" 0 1294 1294 6 6 3 14 0 1
"236" 13 15 1 "में" 1 12692 25348 112 5 3 14 0 1
"237" 13 16 3 "गुस्से" 1.5 5 19 1 8 6 15 0 1
